,Name,Value
186,Andrew Robertson,€20.6M
187,Kevin De Bruyne,€20.4M
188,Wilfred Ndidi,€20.4M
189,Marcos Senesi,€20.3M
190,Trevoh Chalobah,€20.2M
191,Jake O'Brien,€19.7M
192,Lewis Cook,€19.5M
193,Ederson,€19.5M
194,Jack Clarke,€19.4M
195,Ola Aina,€19.3M
196,Djed Spence,€19.2M
197,Mads Hermansen,€19.2M
198,Konstantinos Mavropanos,€19.1M
199,Andreas Pereira,€18.9M
200,Nicolás Domínguez,€18.8M
201,Aaron Ramsdale,€18.7M
202,Toti Gomes,€18.6M
203,Cameron Archer,€18.6M
204,Kamaldeen Sulemana,€18.5M
205,Mohamed Salah,€18.3M
206,Yehor Yarmoliuk,€18M
207,Jack Harrison,€17.9M
208,Issa Diop,€17.9M
209,Jacob Murphy,€17.9M
210,Dominic Calvert-Lewin,€17.8M
211,Ryan Yates,€17.5M
212,Kalvin Phillips,€17.3M
213,Timothy Castagne,€16.8M
214,Virgil van Dijk,€16.6M
215,Caleb Okoli,€16.6M
216,Kyle Walker-Peters,€16.6M
217,James Justin,€16.4M
218,Ryan Christie,€16.2M
219,Bernd Leno,€16M
220,Yukinari Sugawara,€15.8M
221,Chris Richards,€15.7M
222,James Tarkowski,€15.5M
223,Jens Cajuste,€15.4M
224,Boubakary Soumaré,€15.3M
225,Daichi Kamada,€15.1M
226,Adam Armstrong,€15.1M
227,Lucas Digne,€14.8M
228,Thomas Partey,€14.7M
229,Sammie Szmodics,€14.1M
230,Mark Flekken,€13.9M
231,Harry Maguire,€13.8M
232,Guido Rodríguez,€13.6M
233,Kenny Tete,€13.4M
234,Stephy Mavididi,€13.2M
235,Jan Bednarek,€13M
236,Jefferson Lerma,€12.8M
237,Paul Onuachu,€12.7M
238,Emerson Palmieri,€12.7M
239,Ben Johnson,€12.6M
240,Saša Lukić,€12.1M
241,Alphonse Areola,€11.6M
242,Casemiro,€11.6M
243,Nick Pope,€11.5M
244,Harry Winks,€11.5M
245,Kepa Arrizabalaga,€11.4M
246,Idrissa Gana Gueye,€11.4M
247,Santiago Bueno,€11.3M
248,Álex Moreno,€11.2M
249,İlkay Gündoğan,€11M
250,Christian Nørgaard,€10.8M
251,Arijanet Muric,€10.4M
252,Matz Sels,€10.2M
253,Jack Hinshelwood,€9.2M
254,José Sá,€8.6M
255,Flynn Downes,€8.5M
256,Mads Roerslev,€8.4M
257,Rodrigo Muniz,€8.4M
258,Dan Burn,€8.4M
259,Nélson Semedo,€8.3M
260,Adama Traoré,€8.2M
261,Joe Aribo,€8M
262,Chris Wood,€7.9M
263,Ethan Pinnock,€7.6M
264,Fabian Schär,€7.5M
265,Will Hughes,€7.3M
266,Lewis Dunk,€7.1M
267,Joël Veltman,€5.9M
268,Danny Welbeck,€5.9M
269,Stefan Ortega,€5.8M
270,Abdoulaye Doucouré,€5.8M
271,Tyrone Mings,€5.7M
273,Raúl Jiménez,€5.2M
272,Mario Lemina,€5.2M
274,Ben Davies,€5.1M
275,Kyle Walker,€4.9M
277,Jordan Ayew,€4.5M
276,Kieran Trippier,€4.5M
278,Axel Tuanzebe,€4.3M
279,Matt Doherty,€4M
